iter	MultiClass
0	0.9926935227
1	0.9110063466
2	0.8477433348
3	0.7967193282
4	0.7527163641
5	0.7166018858
6	0.6860673312
7	0.659980679
8	0.6374824169
9	0.6178570168
10	0.600659881
11	0.5857533967
12	0.5733669735
13	0.5619343941
14	0.5521337147
15	0.5426043944
16	0.5344145143
17	0.5271885619
18	0.5204038932
19	0.5147944935
20	0.5097333701
21	0.5052617203
22	0.5012989808
23	0.4978300781
24	0.494829653
25	0.4917839591
26	0.4891071674
27	0.4866792469
28	0.4839050096
29	0.4818372398
30	0.4798146027
31	0.4782262407
32	0.4766904727
33	0.4751052516
34	0.4735437676
35	0.4720422368
36	0.4707722186
37	0.4697086544
38	0.4688691622
39	0.4676035671
40	0.466619492
41	0.4656276006
42	0.4648137407
43	0.4638738281
44	0.462977896
45	0.4620510611
46	0.4613129263
47	0.4605141033
48	0.4599144283
49	0.4595482862
50	0.4589830462
51	0.4585252021
52	0.4579294827
53	0.4573801679
54	0.4569180697
55	0.4563289678
56	0.4558561774
57	0.4554150606
58	0.4550744358
59	0.4546276168
60	0.4540239594
61	0.4536834738
62	0.4532857727
63	0.4529437778
64	0.4525410981
65	0.4521283269
66	0.4518756265
67	0.4516516313
68	0.4512857066
69	0.4508367405
70	0.4505645467
71	0.4501292557
72	0.4499846929
73	0.4496761751
74	0.4494193479
75	0.4491080196
76	0.4487943641
77	0.4485011372
78	0.4482043976
79	0.4479226743
80	0.4476774979
81	0.4473003659
82	0.4470785785
83	0.4468926382
84	0.4466849647
85	0.4465015329
86	0.4461721426
87	0.446039182
88	0.4458604655
89	0.4455452909
90	0.4450883135
91	0.4449331908
92	0.4448030249
93	0.4446681522
94	0.4444069592
95	0.4440635872
96	0.4438955285
97	0.4436027795
98	0.4434229285
99	0.4432373963
100	0.4428993645
101	0.4427706522
102	0.442622229
103	0.442451185
104	0.4423252741
105	0.4422032769
106	0.4418883328
107	0.4417282313
108	0.4415571928
109	0.4414396467
110	0.4412915658
111	0.4410744271
112	0.4409257997
113	0.4408693416
114	0.4407471563
115	0.4405105239
116	0.4402974072
117	0.4401328745
118	0.4398748379
119	0.4397459911
120	0.4395612629
121	0.4394187772
122	0.4391112797
123	0.4389790083
124	0.4387906822
125	0.4385055473
126	0.4383916902
127	0.4382680832
128	0.4380655887
129	0.4378276018
130	0.437608473
131	0.4374438692
132	0.4373426047
133	0.4371540675
134	0.4370077071
135	0.4367678109
136	0.4365794091
137	0.4364571452
138	0.4363334646
139	0.4361432634
140	0.4359315344
141	0.4358115303
142	0.4356266406
143	0.4354623914
144	0.4352921997
145	0.4351231009
146	0.4350256223
147	0.4347920942
148	0.4344645633
149	0.434328987
150	0.4341658641
151	0.4340066815
152	0.4337582092
153	0.4335518814
154	0.4334343341
155	0.4332667868
156	0.4331773775
157	0.4330903464
158	0.4329974857
159	0.4328173894
160	0.4327094067
161	0.4326250571
162	0.4324508268
163	0.4322975463
164	0.4321363532
165	0.4319572806
166	0.4318009803
167	0.4316678082
168	0.4315849777
169	0.4314964603
170	0.4313882783
171	0.4312555381
172	0.4311268043
173	0.4310383687
174	0.4308191753
175	0.4307169637
176	0.4305017744
177	0.4303706115
178	0.4302506261
179	0.4299872355
180	0.4298523081
181	0.4297937142
182	0.4296055226
183	0.4295136132
184	0.4293622393
185	0.429171669
186	0.4290200242
187	0.4289564576
188	0.4287702056
189	0.4286974238
190	0.4286463321
191	0.4285419093
192	0.428434736
193	0.4283372398
194	0.4282016537
195	0.4280463695
196	0.4278020433
197	0.4276869344
198	0.4275172482
199	0.4273633255
200	0.4272086895
201	0.4270848885
202	0.4269726569
203	0.42687955
204	0.4267757131
205	0.4265563038
206	0.4264632057
207	0.4263689734
208	0.426239765
209	0.4261771825
210	0.4260762038
211	0.4259914053
212	0.4259249226
213	0.4257433813
214	0.4256707898
215	0.4255854749
216	0.4254987053
217	0.4253926077
218	0.4252938842
219	0.4251475656
220	0.4250861134
221	0.4249755903
222	0.424933641
223	0.4248286048
224	0.4247119424
225	0.4245377606
226	0.4244828627
227	0.4243754856
228	0.4242596905
229	0.4241728561
230	0.4240870128
231	0.4239805395
232	0.4239411243
233	0.42384372
234	0.4236564886
235	0.4235968246
236	0.4234398865
237	0.4233274225
238	0.4232084115
239	0.4230938871
240	0.4229344931
241	0.4227836545
242	0.4227206555
243	0.4226289796
244	0.4225194614
245	0.4224465291
246	0.4222990608
247	0.4221152892
248	0.4219613415
249	0.4219433303
250	0.4218156083
251	0.4217294675
252	0.4216563983
253	0.4215469088
254	0.4214524044
255	0.4213815553
256	0.4212527709
257	0.4211710913
258	0.421086524
259	0.4209731837
260	0.4208705017
261	0.4206954753
262	0.4206269469
263	0.4205259079
264	0.4203893083
265	0.4202982285
266	0.4202670995
267	0.4202008873
268	0.4200879955
269	0.4200053811
270	0.4198759348
271	0.4197699911
272	0.4196794204
273	0.4195805367
274	0.4195044221
275	0.4194451222
276	0.4193253765
277	0.4192522282
278	0.4191779488
279	0.419092285
280	0.4190311597
281	0.4189529386
282	0.4188930123
283	0.4188351844
284	0.418733402
285	0.4186926615
286	0.4186146125
287	0.4185603065
288	0.4184703167
289	0.4183389511
290	0.4182505099
291	0.4181806038
292	0.4181391352
293	0.4179652189
294	0.417863145
295	0.4177799708
296	0.4176455887
297	0.417563923
298	0.4174485982
299	0.4173327836
300	0.4172693947
301	0.4171636955
302	0.4170947802
303	0.4170641245
304	0.41702635
305	0.4169450013
306	0.4168606204
307	0.4167674816
308	0.4166413943
309	0.4165811613
310	0.4164631503
311	0.4163776578
312	0.416288886
313	0.4162375726
314	0.4161583148
315	0.4160760458
316	0.4159065984
317	0.4158206227
318	0.4157669072
319	0.4156975307
320	0.4156311278
321	0.4155810074
322	0.4155449079
323	0.4154511045
324	0.4153719659
325	0.4152861499
326	0.4152078398
327	0.4150768321
328	0.4150161502
329	0.4149731199
330	0.4149175016
331	0.4147643659
332	0.414698198
333	0.4146618574
334	0.414587041
335	0.4145394741
336	0.4144308437
337	0.4143453007
338	0.4142902347
339	0.4141961889
340	0.4141131879
341	0.4139820851
342	0.4138666601
343	0.413790477
344	0.413628837
345	0.4135597529
346	0.4134931472
347	0.4134419293
348	0.4133536003
349	0.413197699
350	0.4130950267
351	0.4130142723
352	0.4128844609
353	0.4128239978
354	0.4127908999
355	0.4127295532
356	0.4126667559
357	0.4126044506
358	0.4125394725
359	0.4124146511
360	0.4123569159
361	0.4122643683
362	0.4121630321
363	0.4120695323
364	0.4119650418
365	0.4119058446
366	0.4117682959
367	0.4116889733
368	0.4116250165
369	0.4115977615
370	0.4115366332
371	0.4115023104
372	0.4113845574
373	0.4112768081
374	0.4111794314
375	0.411135345
376	0.4110775185
377	0.4110051438
378	0.4109249864
379	0.4108455386
380	0.4107782545
381	0.4106629141
382	0.4105762313
383	0.4105252566
384	0.410492823
385	0.4104557888
386	0.4103977609
387	0.4103201455
388	0.4102560138
389	0.4101709745
390	0.410093547
391	0.4100378372
392	0.4099479687
393	0.4098996144
394	0.4098193487
395	0.4097935632
396	0.4096887766
397	0.4096164699
398	0.4095451868
399	0.4094435814
400	0.4093931029
401	0.409319661
402	0.4091561037
403	0.4090744041
404	0.4090178285
405	0.4089965909
406	0.4089217377
407	0.4088780894
408	0.4088150885
409	0.4087606017
410	0.4085857949
411	0.4084141709
412	0.4082805484
413	0.4082167369
414	0.4081186033
415	0.4080455826
416	0.4079818665
417	0.4079346185
418	0.4078581271
419	0.4077838191
420	0.4076694052
421	0.4075570469
422	0.4075041
423	0.4074611866
424	0.4074290998
425	0.4073945751
426	0.4073337735
427	0.4072293384
428	0.4071789973
429	0.4070866295
430	0.4070453414
431	0.4069679914
432	0.4068720942
433	0.4067579038
434	0.4066901923
435	0.406611485
436	0.4065645178
437	0.4065285031
438	0.4064365291
439	0.4063654351
440	0.4062652874
441	0.406200163
442	0.406144426
443	0.4060130878
444	0.4059676052
445	0.4058698715
446	0.4057941079
447	0.4057591306
448	0.4056344528
449	0.405556439
450	0.40552243
451	0.4054484367
452	0.4053689089
453	0.4052752117
454	0.4051967634
455	0.4051060258
456	0.4050699335
457	0.4050563183
458	0.4049861459
459	0.4049277396
460	0.4048800572
461	0.4047802572
462	0.4046618006
463	0.4046101923
464	0.4045507603
465	0.4044577013
466	0.404406343
467	0.4043763881
468	0.4042860226
